id,name,localized_city,localized_neighborhood,city,public_address,lat,lng,preview_amenities,reviews_count,person_capacity,bathrooms,bedrooms,beds,guest_label,property_type_id,room_and_property_type,room_type,tier_id,kicker_content_messages,picture_count,star_rationg,user_first_name,user_has_profile_pic,user_is_superhost,cancel_policy,room_type_category,can_instant_book,night_cost,night_cost_with_fees,monthly_price_factor,rate_type,fees,link
40674218,Holywood Garden View,Ards And North Down,0,Ards And North Down,"Ards And North Down, Northern Ireland, United Kingdom",54.64673,-5.81307,"Free parking,Wifi,Kitchen,Washer",0,4,1.0,2,2,4 guests,38,Entire bungalow,Entire home/apt,0,Entire bungalow,12,0.0, ,True,False,CANCEL_FLEXIBLE,entire_home,True,95.0,95.0,0.85,nightly,0.0,https://www.airbnb.co.uk/rooms/40674218?&check_in=2022-02-15&check_out=2022-02-16
20450513,Hilltop Lodge - unique eco friendly accommodation,North Down,0,North Down,"North Down, Northern Ireland, United Kingdom",54.62262,-5.77901,"Free parking,Wifi,Kitchen,Washer",72,5,1.0,2,3,5 guests,38,Entire bungalow,Entire home/apt,0,Entire bungalow,18,5.0, ,True,False,CANCEL_BETTER_STRICT_WITH_GRACE_PERIOD,entire_home,True,95.0,95.0,0.7,nightly,0.0,https://www.airbnb.co.uk/rooms/20450513?&check_in=2022-02-15&check_out=2022-02-16
21922532,Brill location for Belfast City or exploring NI.,Belfast,0,Belfast,"Belfast, Northern Ireland, United Kingdom",54.60894,-5.98032,"Free parking,Wifi,Kitchen,Washer",137,5,1.0,3,3,5 guests,2,Entire residential home,Entire home/apt,0,Entire residential home,28,5.0, ,True,True,CANCEL_FLEXIBLE,entire_home,False,95.0,95.0,1.0,nightly,0.0,https://www.airbnb.co.uk/rooms/21922532?&check_in=2022-02-15&check_out=2022-02-16
18943652,Park Terrace: Cosy little snug in Holywood,Holywood,0,Holywood,"Holywood, Northern Ireland, United Kingdom",54.638,-5.83613,"Wifi,Kitchen,Washer",50,5,1.0,2,3,5 guests,2,Entire residential home,Entire home/apt,0,Entire residential home,33,5.0, ,True,False,CANCEL_STRICT_14_WITH_GRACE_PERIOD,entire_home,False,95.0,95.0,0.75,nightly,0.0,https://www.airbnb.co.uk/rooms/18943652?&check_in=2022-02-15&check_out=2022-02-16
5614567,Penthouse University Area w/parking sleeps 8,Belfast,0,Belfast,"Belfast, United Kingdom",54.58354,-5.92909,"Free parking,Wifi,Kitchen,Washer",54,8,2.0,3,3,8 guests,1,Entire rental unit,Entire home/apt,0,Entire rental unit,17,4.5, ,True,False,CANCEL_STRICT_14_WITH_GRACE_PERIOD,entire_home,False,95.0,95.0,0.75,nightly,0.0,https://www.airbnb.co.uk/rooms/5614567?&check_in=2022-02-15&check_out=2022-02-16
19697973,"'Gweebarra', Twin Private Bedroom, Holywood",North Down,0,North Down,"North Down, Northern Ireland, United Kingdom",54.65722,-5.79809,"Free parking,Wifi,Kitchen,Washer",18,2,1.0,1,2,2 guests,2,Private room in residential home,Private room,0,Private room,12,5.0, ,True,True,CANCEL_FLEXIBLE,private_room,True,95.0,95.0,0.75,nightly,0.0,https://www.airbnb.co.uk/rooms/19697973?&check_in=2022-02-15&check_out=2022-02-16
45219390,5* Sparkling 1BR Modern Apt in ❤️ of Belfast!! 🥰,Belfast,0,Belfast,"Belfast, Northern Ireland, United Kingdom",54.58648,-5.93068,"Free parking,Wifi,Kitchen,Washer",40,2,1.0,1,1,2 guests,37,Entire condominium (condo),Entire home/apt,0,Entire condominium (condo),26,5.0, ,True,True,CANCEL_MODERATE,entire_home,True,94.0,94.0,0.88,nightly,0.0,https://www.airbnb.co.uk/rooms/45219390?&check_in=2022-02-15&check_out=2022-02-16
9216353,Hilltop Drumbo 8.5 miles from Belfast City Hall,Belfast,0,Belfast,"Belfast, Northern Ireland, United Kingdom",54.50734,-5.97038,"Free parking,Wifi,Kitchen,Washer",13,4,2.0,2,2,4 guests,1,Entire rental unit,Entire home/apt,0,Entire rental unit,8,5.0, ,True,False,CANCEL_FLEXIBLE,entire_home,False,95.0,95.0,0.4,nightly,0.0,https://www.airbnb.co.uk/rooms/9216353?&check_in=2022-02-15&check_out=2022-02-16
52648015,McCracken's Townhouse - 10 Min Walk to City Centre,Belfast,0,Belfast,"Belfast, Northern Ireland, United Kingdom",54.60785,-5.93445,"Wifi,Kitchen,Washer",7,4,1.0,2,2,4 guests,36,Entire townhouse,Entire home/apt,0,Entire townhouse,38,5.0, ,True,False,CANCEL_MODERATE,entire_home,True,96.0,96.0,0.7,nightly,0.0,https://www.airbnb.co.uk/rooms/52648015?&check_in=2022-02-15&check_out=2022-02-16
15839171,City Centre Penthouse apartment,Belfast,0,Belfast,"Belfast, Northern Ireland, United Kingdom",54.60403,-5.93275,"Wifi,Kitchen,Washer",97,4,1.0,2,2,4 guests,1,Entire rental unit,Entire home/apt,0,Entire rental unit,13,5.0, ,True,False,CANCEL_STRICT_14_WITH_GRACE_PERIOD,entire_home,False,96.0,96.0,0.5900000000000001,nightly,0.0,https://www.airbnb.co.uk/rooms/15839171?&check_in=2022-02-15&check_out=2022-02-16
